"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"vale_s";0,027522973750246;0,191766563661867;0,0534603394933056;0,0259410061560746;0,135822178332014;0,94634223191696;0,263819594141235;0,128015380758438;0,0243787589892032;0,901962561368952;0,0619043884841972;0,011754291157614;2,24514264944181e-05;0,00108993098775071;8,47064834958375e-05;1,99446703050023e-05;0,0296382957979916;0,106417169092933;0,000335642255906911
"empresa";0,197092004870692;0,127401601520257;0,037724990009617;-0,29096164035343;0,524584956524558;0,339095254718785;0,100409766784138;-0,774430700805233;0,395887844236297;0,126068267417291;0,00976179201391779;0,468282096332522;0,000605951188596258;0,000253191663370209;2,2200251476661e-05;0,0013205994135854;0,0155991030515745;0,189105894640132;0,000557840138639288
"desenvolvimento";1,05990266065629;-1,08568261296491;-0,99454314102773;1,41115990534084;0,461150392226763;-0,472366927065301;-0,432713282639927;0,613978026472418;0,298121736842613;0,23839069545744;0,176663187569643;0,286824380130289;0,00941911415674169;0,00988288771610722;0,00829326129525359;0,0166966964946842;0,00838451789022131;1,17190202219178;0,0115149141139785
"comunidade";0,549553278840473;-0,906962640360051;-0,321212251417765;-0,135151942960531;0,492317147147116;-0,812502221100735;-0,287757903256185;-0,121075829317422;0,299532258625674;0,621762675306292;0,0688724176573806;0,00983264841064102;0,00300330488846642;0,00818009998663403;0,00102603935527042;0,000181645399626858;0,00994442819537877;0,606191922907448;0,00365426557810465
"ação";-0,796001926961021;0,10304284111344;-0,604608984456579;0,263351657994197;-0,766257286141209;0,0991923827236301;-0,582016228748372;0,253510852072728;0,68471065086782;0,00874452757700642;0,26586744950252;0,0406773720526554;0,004571298723964;7,66032178755971e-05;0,00263730620867071;0,000500361030208995;0,00721458516135322;0,58074131014681;0,0024331943774024
"pessoa";0,207456889837667;-0,220263060916724;0,254853037259349;0,0574713080425481;0,518954990857419;-0,550989725401311;0,637516814815846;0,143764915029442;0,342882115165728;0,294573927236792;0,348261820442947;0,0142821371545323;0,000251759936479191;0,000283801205056476;0,000379936066688009;1,9321153835165e-05;0,00584966364434045;0,213883651053263;0,000267599977700346
"impacto";0,296197686100124;-0,88175335248779;-0,258504028263423;0,293569119521821;0,293534320473337;-0,873824757226833;-0,256179598412779;0,29092938957553;0,113640643272872;0,767514266214161;0,0582561958545544;0,0605888946584095;0,000667171629285684;0,00591246368534948;0,000508169829873891;0,000655382721952982;0,00760456273764259;0,530440850162543;0,00213967677202404
"vida";0,486195093682556;0,740291600620477;0,251627906077248;-0,0773691199592791;0,5262024523596;0,801207706061401;0,272333519980788;-0,0837355645675398;0,337735665768728;0,596737434284927;0,0608850294030954;0,00464187054325223;0,00138277665470014;0,00320580084205456;0,000370380831335598;3,50159738126547e-05;0,00584966364434045;0,505061485531021;0,00149217375938463
"meio";0,058137009407499;-0,348309944468688;0,400045912723404;-0,0415790509239718;0,108621724198581;-0,650773528072479;0,747435708191181;-0,0776852515795192;0,016528626752666;0,452152568587317;0,52673018068754;0,00458862397247589;2,30665721360372e-05;0,000827960146154298;0,00109218789705266;1,17985008581141e-05;0,00682460758506386;0,272996100819306;0,000508616649544519
"ambiental";0,174914903045566;-0,665978402127367;-0,941976187940735;0,859903348315355;0,120677601445386;-0,45947300535178;-0,649889889312309;0,593266049620258;0,0223789854264989;0,247245794608937;0,436821238748007;0,293553981216555;0,000202834667534943;0,0029404164748765;0,00588258764044267;0,00490216401035286;0,00662961879691918;0,705876558498569;0,00330328523710337
"processo";-0,0470770180857819;-0,173724550942077;-0,0987814096072408;-0,618832005039947;-0,0722037366973096;-0,266447669035106;-0,151504644514101;-0,949125177604809;0,00924849168056357;0,0959836520481961;0,0274056802967183;0,867362175974522;1,29642914995556e-05;0,000176544133372485;5,70796541912459e-05;0,00224014653677544;0,00584966364434045;0,295525958017105;0,000510883836571675
"operação";0,13227455974273;-0,657279458272515;-0,90828118455142;0,863168614612507;0,0930784786985097;-0,462512006653258;-0,639135983918275;0,607391335602975;0,0133933347649702;0,252033372642248;0,425024378602533;0,309548913990247;0,000100643169557653;0,00248503079748013;0,00474539416031956;0,00428571155092838;0,00575216925026811;0,690007967158927;0,00273867102367407
"segurança";0,00924605070735865;1,61109634431344;0,206919887994553;-0,599013992143401;0,00534056867144236;0,930577922990178;0,11951804141011;-0,34599370709168;3,88265974331949e-05;0,898424677961338;0,0130875511321258;0,0884489443091021;4,83415064211441e-07;0,0146774517869053;0,000242109654164506;0,0020289977811687;0,00565467485619577;0,895805546541569;0,00453769323178796
"sustentável";1,04074028998118;-1,20323365257778;-0,764871719140604;1,35743037798465;0,46737415021005;-0,54034643540882;-0,343487489813144;0,609592878729961;0,302524302251401;0,308174946811493;0,109973961704757;0,279326789232346;0,00517440549949454;0,00691632932749218;0,00279481413574281;0,00880259767209728;0,0047772253095447;1,14231104590183;0,00623367960942546
"compromisso";0,394256244216303;-0,0134726911042863;-0,21595304746051;0,992498501942539;0,361823518804222;-0,0123643862960374;-0,198188088774538;0,910852537274585;0,215406214437031;0,000191704200951604;0,043496756447996;0,740905324914021;0,000909259936259405;1,06179236964911e-06;0,000272803268250841;0,00576223033845092;0,00584966364434045;0,512827857761634;0,00153841714943777
"empregado";0,268184376178736;1,22865411153343;0,576513438673978;-0,230082183022177;0,191227892179142;0,87608733705347;0,411080806650343;-0,164059262192005;0,0487667057164856;0,780077239257833;0,151674465889641;0,0194815891360424;0,000364627932199635;0,00765318593555392;0,00168500757907069;0,000268379269679344;0,00506970849176172;0,733151801944321;0,00272502694395034
"mineração";0,404235346496355;0,0680085405108395;-0,316789550447409;0,579936924792344;0,519827599563632;0,0874557771110066;-0,407376428120948;0,745771546516251;0,39184623619846;0,00845270816456102;0,161966774849365;0,437734280787611;0,000844353067556058;2,38991482761011e-05;0,000518557845515414;0,00173786900137398;0,00516720288583406;0,389850942582933;0,000785330910006675
"forma";0,623488491542451;-0,682113539896283;0,793571073693436;0,452723683626425;0,479786760780329;-0,524899898282981;0,610668681236466;0,348379854066435;0,304075975287909;0,277370598056525;0,331538535165125;0,0870148914904404;0,00212238689176263;0,00254027662604572;0,00343826486732626;0,00111901034299616;0,00545968606805109;0,682589384765781;0,00254382207457502
"atividade";0,154868914371704;-0,227469005455801;-0,9279521111598;-1,3607737601875;0,0927420810078736;-0,136218097843248;-0,555697121102397;-0,814889100325195;0,0145537853743594;0,0239284062177494;0,351670320709379;0,609847487698511;0,000116917132878377;0,000252228470522819;0,00419759735110622;0,00902654395249496;0,00487471970361704;0,774994130973887;0,00292783417687419
"parte";0,354175950548293;-0,507944945449354;-0,236909790687521;-2,14628567575224;0,157666855051607;-0,226119480908797;-0,105464025919351;-0,955451978075588;0,0438594191475021;0,0687511366499985;0,0132077210696686;0,87418172313283;0,000660406806388467;0,00135833437172736;0,000295487710039453;0,0242520502003236;0,0052646972799064;1,02096245816304;0,00548773271062
"social";0,62138349485055;-1,06615940571281;-1,0564718652479;0,297826904223457;0,376240576636995;-0,645547287490828;-0,639681592890124;0,180330773365641;0,188189207139281;0,422222553749931;0,366124076009188;0,0234641631015967;0,00203279147648678;0,00598435969904009;0,0058761013270216;0,000466983202055546;0,00526469727990641;0,864737911931852;0,00393679140508355
"barragem";-2,09951011702328;0,130832819619322;-0,162305707968305;0,240307869659719;-0,988713771922527;0,0616125683454588;-0,0764339678236088;0,113167209011022;0,986103548784169;0,00291837998136025;0,00396635238665171;0,00701171884781853;0,0214874852855763;8,34416822147899e-05;0,000128415437452923;0,000281504690554707;0,00487471970361704;1,27637665858061;0,00794158805971238
"risco";0,448341971454623;0,135450788395612;-0,325477720098987;-0,8569737764393;0,435530421650129;0,131580228349765;-0,316177065048173;-0,832485410600215;0,293492665249728;0,0204156583514097;0,104101771329766;0,581989905069096;0,000921077761361747;8,40699089030578e-05;0,000485422645529806;0,00336521307543315;0,00458223652140002;0,499612060716466;0,00114378219040924
"público";-1,51599024352857;-0,511338104452014;-0,693858152961798;-0,214431601416458;-0,862819862736654;-0,291026063642998;-0,394906628754914;-0,122042899477976;0,807393580742895;0,0700052564700534;0,113833739267398;0,00876742351965703;0,00649786157119433;0,000739254465718318;0,00136119088978407;0,000130003552587967;0,00282733742809788;1,01853487242682;0,00293311741290202
"projeto";0,666233058987728;0,198504999914688;-0,38248335122621;0,57932543006127;0,678143383453989;0,202053696463538;-0,389321049768171;0,589682096922067;0,588280378823325;0,0398012547033043;0,13049510116856;0,24142326530481;0,00216372471915836;0,00019208460071722;0,000713139875037694;0,00163604345284038;0,00487471970361704;0,524392099378852;0,00134048490733626
"negócio";0,441538847101593;-0,101044454235729;-0,508306030439492;0,219871681576674;0,617138541848742;-0,14122976394553;-0,710458987918163;0,307314497586752;0,483917372247112;0,0193143544300664;0,431639349966218;0,0651289233565983;0,000798301184263602;4,18074712621083e-05;0,0010579848751495;0,000197955480851408;0,00409476455103832;0,383182313681793;0,000601228896536839
"além";0,485017878609991;0,103057649336308;-0,485252094837828;0,854078682210183;0,440782711657599;0,093658465254316;-0,440995566623515;0,776184000871176;0,294890822799262;0,0101467762449712;0,198663339034124;0,496299061921641;0,00103206643421177;4,65964276984154e-05;0,00103306344930316;0,00320027959376667;0,00438724773325534;0,539199228112846;0,00127553001285824
"área";0,594259089408829;0,332250161026714;-0,574733704623054;0,85393683672996;0,481523166420212;0,269219524669557;-0,465701910548513;0,69193787166827;0,334616289282981;0,0797163985589795;0,210652140639332;0,375015171518706;0,00168704781143663;0,000527358711671209;0,00157800748076994;0,00348359149216088;0,0047772253095447;0,620189538830126;0,00183748836303421
"gestão";0,697248639128155;0,542995289239319;-0,736887878092008;-0,341553302627863;0,58090702963004;0,452392106450767;-0,613932138997166;-0,284562354597029;0,426587726553232;0,197172792110713;0,320680802192713;0,0555586791433399;0,00203809043433175;0,0012360619106807;0,00227641230669733;0,000489063304772158;0,00419225894511066;0,644474354075289;0,00174124298543558
"também";0,00155292141343427;0,105989996050737;0,152530103163571;0,223397346059779;0,00534511954654851;0,364815112167538;0,525005083195842;0,768928492286342;4,70006401696524e-05;0,166861608309869;0,305177896490835;0,527913494559125;1,0109904592085e-08;4,70953308279142e-05;9,75347169695671e-05;0,000209220443769306;0,00419225894511066;0,13674760681156;7,83948564544826e-05
"ano";-0,495874709826312;1,05728886520115;0,301934297061213;0,124279184110236;-0,408940342117338;0,871930069600958;0,249000629171871;0,102491155650799;0,210600958609218;0,729668501704754;0,0525506934997112;0,00717984618631324;0,00112673405564302;0,00512229774695155;0,00041773647536969;7,07740892411015e-05;0,00458223652140002;0,652324860678733;0,00194986867713735
"recurso";0,617346814156909;-0,463345187858851;0,057195322235751;0,338728831895841;0,730695723190282;-0,548418392004869;0,0676967571319337;0,400921658801374;0,625591535138548;0,268573780300222;0,00361402035592343;0,102220664205304;0,00118901694904845;0,00066979042795969;1,02058844048791e-05;0,000357959548585422;0,00311982061031491;0,471200694772972;0,00069269406572536
"porcento";-0,273969197858538;2,39978193312056;-0,0426561312177509;0,135032706591743;-0,113232980118792;0,991843105160983;-0,0176300142347321;0,0558097621937211;0,0167723188815542;0,980742623529024;0,00027364637088347;0,00221141121853722;0,000256124524532883;0,019651298277139;6,20884211429361e-06;6,22193735724105e-05;0,00341230379253193;1,27710711801626;0,00556547632651586
"local";0,674499459336368;-0,646057219734672;-1,13341196237215;-0,295227936048138;0,450254857558073;-0,4312685465044;-0,756596961804222;-0,197076232534425;0,270007616805638;0,188788975281392;0,513127769976021;0,0280756379369445;0,00195162122534682;0,00179049985098342;0,0055107144158842;0,000373892902975793;0,004289753339183;0,783638456901129;0,00263429132981504
"mina";-3,08892654737203;-0,521316589572662;-0,626159229109888;0,475046949015036;-0,956411872264368;-0,16141315367303;-0,193875157425837;0,147086871427061;0,941441821928535;0,0204363472191199;0,0260366453859638;0,012085185466383;0,0353491034583474;0,00100685361113576;0,00145255576168281;0,000836057808638273;0,00370478697474895;1,92190970698321;0,0136845084360201
